value,label
ELOX,"Eloxx Pharmaceuticals, Inc."
BIVI,BioVie Inc.
CTIB,Yunhong CTI Ltd.
SHPH,"Shuttle Pharmaceuticals Holdings, Inc."
TOPS,TOP Ships Inc.
WBEV,"Winc, Inc."
RMED,"Ra Medical Systems, Inc."
POAI,Predictive Oncology Inc.
COSM,Cosmos Holdings Inc.
GLS,"Gelesis Holdings, Inc."
HILS,"Hillstream BioPharma, Inc."
IVC,Invacare Corporation
VIVK,"Vivakor, Inc."
AVXL,Anavex Life Sciences Corp.
CRBP,"Corbus Pharmaceuticals Holdings, Inc."
SATX,SatixFy Communications Ltd.
RIGL,"Rigel Pharmaceuticals, Inc."
MEIP,"MEI Pharma, Inc."
VAPO,"Vapotherm, Inc."
MTC,"MMTec, Inc."
TPHS,Trinity Place Holdings Inc.
PIK,Kidpik Corp.
LCFY,Locafy Limited
OBLG,Oblong Inc.
SNAX,"Stryve Foods, Inc."
TIVC,"Tivic Health Systems, Inc."
CYTH,"Cyclo Therapeutics, Inc."
AGLE,"Aeglea BioTherapeutics, Inc."
CIFR,Cipher Mining Inc.
VRAX,Virax Biolabs Group Limited
WORX,SCWorx Corp.
KTRA,"Kintara Therapeutics, Inc."
SNMP,Evolve Transition Infrastructure LP
LSF,"Laird Superfood, Inc."
OPGN,"OpGen, Inc."
BIOL,"Biolase, Inc."
CLGN,CollPlant Biotechnologies Ltd.
CLIR,ClearSign Technologies Corporation
AMPE,"Ampio Pharmaceuticals, Inc."
OTIC,"Otonomy, Inc."
BTB,Bit Brother Limited
BRSH,Bruush Oral Care Inc.
NUTX,Nutex Health Inc.
EHTH,"eHealth, Inc."
VENA,Venus Acquisition Corporation
AUID,authID Inc.
VOR,Vor Biopharma Inc.
NEXI,"NexImmune, Inc."
IPW,iPower Inc.
HTGM,"HTG Molecular Diagnostics, Inc."
AMTI,Applied Molecular Transport Inc.
MGTA,"Magenta Therapeutics, Inc."
DMAC,DiaMedica Therapeutics Inc.
LIDR,"AEye, Inc."
XLO,"Xilio Therapeutics, Inc."
XWEL,"XWELL, Inc."
PALI,"Palisade Bio, Inc."
TOI,"The Oncology Institute, Inc."
SPB,"Spectrum Brands Holdings, Inc."
NOVN,"Novan, Inc."
KERN,Akerna Corp.
VAXX,"Vaxxinity, Inc."
UAMY,United States Antimony Corporation
FRZA,"Forza X1, Inc."
CHRA,"Charah Solutions, Inc."
TUEM,Tuesday Morning Corp.
OBSV,ObsEva SA
IOT,Samsara Inc.
YGMZ,MingZhu Logistics Holdings Limited
MAPS,"WM Technology, Inc."
DRCT,"Direct Digital Holdings, Inc."
COMS,ComSovereign Holding Corp.
PXMD,"PaxMedica, Inc."
BXRX,"Baudax Bio, Inc."
VCNX,"Vaccinex, Inc."
SESN,"Sesen Bio, Inc."
FFHL,"Fuwei Films (Holdings) Co., Ltd."
ZFOX,"ZeroFox Holdings, Inc."
PHVS,Pharvaris N.V.
MSGM,Motorsport Games Inc.
VMAR,Vision Marine Technologies Inc.
GROV,"Grove Collaborative Holdings, Inc."
BRTX,"BioRestorative Therapies, Inc."
TDUP,ThredUp Inc.
CFMS,"Conformis, Inc."
IMNM,"Immunome, Inc."
LAAA,Lakeshore Acquisition I Corp.
IFBD,"Infobird Co., Ltd"
AKAN,Akanda Corp.
HCTI,"Healthcare Triangle, Inc."
IPVA,InterPrivate II Acquisition Corp.
FAZE,FaZe Holdings Inc.
RSLS,"ReShape Lifesciences, Inc."
OABI,"OmniAb, Inc."
PLBY,"PLBY Group, Inc."
APRE,"Aprea Therapeutics, Inc."
AOUT,"American Outdoor Brands, Inc."
LNKB,"LINKBANCORP, Inc."
AVRO,"AVROBIO, Inc."
SQZ,SQZ Biotechnologies Company
